fold,roc_auc,f1,accuracy
0,0.7519437245464643,0.6866398894620859,0.6870748299319728
1,0.7757407407407407,0.7065310107491786,0.7074829931972789
2,0.6962894248608534,0.660021532705002,0.6598639455782312
3,0.8263528539659007,0.7259824243951228,0.7278911564625851
4,0.737687969924812,0.6572764142746276,0.6575342465753424
